RollNumber,Name,Marks,Course
61754,Vivaan Sharma,85.96,HUM-101
40445,Aarav Reddy,39.01,HUM-101
20443,Arjun Joshi,96.74,MTH-301
82312,Sai Joshi,45.55,HUM-101
59356,Krishna Kumar,36.77,HUM-101
45318,Aditya Das,74.03,HUM-101
38465,Sai Das,90.46,HUM-101
91936,Arjun Sharma,72.99,HUM-101
22346,Arjun Kumar,95.74,CSE-101
81373,Vivaan Gupta,71.24,ECE-201
82074,Ishaan Malhotra,64.26,ECE-201
70206,Krishna Reddy,55.19,ECE-201
84571,Sai Verma,77.3,HUM-101
53255,Reyansh Patel,74.59,PHY-101
56750,Reyansh Sharma,68.9,ECE-201
87398,Vihaan Gupta,55.36,ECE-201
11854,Ayaan Reddy,79.43,MTH-301
48240,Shaurya Gupta,80.79,MTH-301
87215,Ishaan Joshi,97.85,CSE-101
98061,Aarav Kumar,79.71,PHY-101
61651,Ayaan Reddy,39.11,CSE-101
82126,Aditya Malhotra,48.43,ECE-201
69213,Krishna Joshi,48.93,ECE-201
33271,Vihaan Verma,71.76,MTH-301
10039,Arjun Kumar,54.9,CSE-101
27050,Reyansh Kumar,43.83,MTH-301
33360,Arjun Patel,56.78,CSE-101
34355,Ishaan Malhotra,49.11,HUM-101
14905,Arjun Patel,90.17,HUM-101
30901,Sai Das,38.05,CSE-101
74468,Sai Joshi,88.52,ECE-201
69610,Shaurya Das,77.21,MTH-301
23346,Ishaan Verma,85.03,MTH-301
29650,Shaurya Kumar,79.37,HUM-101
54618,Ishaan Gupta,74.82,PHY-101
97207,Ishaan Kumar,52.35,ECE-201
65345,Sai Kumar,68.73,ECE-201
14375,Sai Kumar,82.34,CSE-101
65138,Vihaan Verma,83.21,MTH-301
91801,Vihaan Sharma,39.24,CSE-101
83005,Sai Patel,69.25,CSE-101
10870,Vivaan Singh,82.43,CSE-101
28611,Vihaan Das,76.87,MTH-301
72692,Ishaan Joshi,77.2,ECE-201
15692,Shaurya Reddy,36.8,CSE-101
37066,Ayaan Gupta,88.57,CSE-101
52630,Shaurya Verma,89.25,PHY-101
20554,Sai Singh,55.89,CSE-101
19578,Aditya Kumar,71.9,ECE-201
10116,Shaurya Malhotra,77.95,ECE-201
75725,Reyansh Joshi,72.33,HUM-101
60626,Arjun Das,74.78,ECE-201
47143,Aarav Sharma,66.75,MTH-301
79939,Shaurya Malhotra,82.49,HUM-101
26444,Vihaan Sharma,94.97,ECE-201
18944,Krishna Joshi,82.72,PHY-101
12996,Aditya Verma,69.28,MTH-301
16889,Shaurya Reddy,44.28,CSE-101
30643,Arjun Reddy,88.03,PHY-101
88060,Vihaan Verma,56.16,MTH-301
94567,Aarav Das,37.83,CSE-101
36843,Shaurya Patel,90.6,HUM-101
35689,Reyansh Joshi,40.95,CSE-101
40779,Aditya Sharma,53.99,MTH-301
25536,Arjun Sharma,37.09,HUM-101
19947,Vivaan Sharma,94.16,HUM-101
16429,Vivaan Das,68.75,ECE-201
83841,Reyansh Singh,72.15,ECE-201
73124,Aditya Singh,95.89,HUM-101
49855,Sai Singh,94.67,MTH-301
51438,Arjun Reddy,90.12,HUM-101
12977,Krishna Reddy,76.15,PHY-101
57284,Vihaan Verma,40.08,ECE-201
25468,Arjun Patel,87.3,ECE-201
81841,Aarav Das,55.5,ECE-201
77542,Aarav Reddy,82.01,PHY-101
19664,Sai Sharma,99.53,PHY-101
85164,Sai Gupta,70.53,ECE-201
10631,Sai Singh,71.43,HUM-101
41659,Arjun Singh,63.95,HUM-101
76302,Arjun Kumar,47.82,PHY-101
58986,Ishaan Verma,72.74,HUM-101
50807,Vivaan Reddy,84.96,MTH-301
78490,Aarav Kumar,61.4,ECE-201
80852,Krishna Reddy,45.73,CSE-101
75152,Aditya Verma,87.48,ECE-201
92435,Arjun Joshi,86.89,HUM-101
95377,Reyansh Patel,36.94,MTH-301
28532,Ishaan Das,71.9,MTH-301
43401,Reyansh Patel,56.49,CSE-101
27641,Ishaan Verma,88.36,PHY-101
11528,Arjun Joshi,88.85,MTH-301
46799,Aarav Sharma,76.87,HUM-101
92257,Arjun Joshi,53.11,MTH-301
61790,Shaurya Reddy,66.72,CSE-101
14299,Ayaan Patel,46.72,PHY-101
93351,Vihaan Singh,95.81,CSE-101
63240,Ishaan Reddy,54.67,ECE-201
55821,Ayaan Singh,85.04,CSE-101
27522,Sai Reddy,92.45,PHY-101
96766,Ishaan Joshi,90.88,MTH-301
52808,Reyansh Gupta,55.96,HUM-101
78397,Ishaan Joshi,80.03,HUM-101
18655,Sai Gupta,39.73,PHY-101
32327,Vivaan Verma,55.96,CSE-101
44440,Krishna Patel,39.82,ECE-201
68521,Arjun Kumar,70.46,MTH-301
44665,Shaurya Gupta,70.42,ECE-201
84628,Vihaan Kumar,84.28,PHY-101
89306,Krishna Gupta,65.83,MTH-301
46713,Krishna Kumar,94.28,MTH-301
46931,Krishna Joshi,66.63,HUM-101
72789,Aarav Verma,72.48,PHY-101
60023,Ayaan Das,74.7,PHY-101
11960,Shaurya Sharma,40.12,CSE-101
73256,Shaurya Verma,93.01,MTH-301
19713,Reyansh Kumar,63.8,CSE-101
90577,Arjun Malhotra,95.6,MTH-301
58352,Vivaan Sharma,77.3,PHY-101
72751,Aditya Malhotra,51.85,CSE-101
64923,Krishna Malhotra,42.43,PHY-101
70595,Ishaan Reddy,42.74,PHY-101
64276,Ayaan Patel,71.14,MTH-301
52916,Aarav Reddy,82.68,HUM-101
34305,Sai Gupta,57.0,ECE-201
86810,Aditya Das,91.81,MTH-301
21760,Aarav Verma,87.44,ECE-201
23693,Vihaan Verma,67.54,HUM-101
24274,Krishna Verma,42.27,MTH-301
99181,Aarav Singh,97.63,PHY-101
30823,Arjun Verma,71.28,ECE-201
36572,Vivaan Singh,57.35,PHY-101
62309,Arjun Das,36.02,MTH-301
84848,Aarav Verma,53.33,CSE-101
32716,Aarav Sharma,59.41,HUM-101
37122,Aditya Das,54.24,ECE-201
44493,Arjun Verma,82.53,PHY-101
13663,Ayaan Patel,69.03,HUM-101
40658,Sai Patel,73.42,ECE-201
31485,Ishaan Verma,41.63,HUM-101
27686,Ayaan Patel,64.94,PHY-101
85400,Arjun Kumar,48.17,HUM-101
42861,Aditya Singh,67.97,MTH-301
16117,Reyansh Verma,87.27,HUM-101
95066,Sai Patel,84.22,PHY-101
50225,Ayaan Malhotra,66.41,CSE-101
63915,Arjun Kumar,80.0,MTH-301
26529,Arjun Verma,83.62,PHY-101
39695,Sai Verma,61.51,PHY-101
83348,Ishaan Sharma,75.92,HUM-101
72931,Reyansh Gupta,88.69,MTH-301
55726,Aditya Das,90.52,PHY-101
17450,Aditya Reddy,87.25,MTH-301
39847,Vivaan Singh,65.4,PHY-101
20329,Reyansh Singh,41.4,PHY-101
92360,Vivaan Sharma,98.88,PHY-101
88718,Reyansh Patel,73.12,MTH-301
23763,Vihaan Verma,99.98,ECE-201
79414,Aditya Das,99.32,PHY-101
36992,Vihaan Reddy,74.59,HUM-101
79785,Sai Gupta,84.79,HUM-101
39729,Krishna Das,59.69,HUM-101
84226,Vihaan Patel,72.98,HUM-101
62713,Aditya Reddy,53.44,PHY-101
40732,Aarav Gupta,54.84,CSE-101
54601,Krishna Patel,52.84,HUM-101
13903,Ayaan Joshi,48.53,MTH-301
87016,Arjun Joshi,44.02,CSE-101
97093,Krishna Joshi,99.34,MTH-301
27727,Shaurya Gupta,42.29,CSE-101
82897,Ayaan Reddy,53.34,MTH-301
78620,Reyansh Gupta,66.51,MTH-301
29810,Vivaan Kumar,77.45,PHY-101
58849,Krishna Kumar,83.23,CSE-101
67252,Vihaan Verma,44.42,MTH-301
99206,Sai Singh,57.39,HUM-101
16333,Reyansh Patel,36.46,HUM-101
10790,Aarav Verma,73.13,PHY-101
70133,Sai Das,99.35,MTH-301
24552,Shaurya Verma,42.69,HUM-101
20758,Ishaan Patel,83.84,CSE-101
28930,Ayaan Gupta,55.25,CSE-101
80534,Sai Gupta,40.31,PHY-101
46223,Reyansh Joshi,44.57,CSE-101
94113,Ayaan Singh,82.9,PHY-101
12106,Ayaan Patel,72.0,PHY-101
23516,Aditya Patel,96.82,HUM-101
36814,Aditya Joshi,54.4,ECE-201
84232,Arjun Sharma,84.58,HUM-101
44524,Shaurya Sharma,96.24,CSE-101
72225,Reyansh Verma,53.78,MTH-301
44624,Aditya Malhotra,51.71,HUM-101
16640,Sai Singh,70.97,ECE-201
43070,Vivaan Gupta,53.06,PHY-101
98319,Reyansh Malhotra,48.02,ECE-201
13950,Sai Verma,42.08,ECE-201
37800,Shaurya Gupta,48.01,HUM-101
34840,Ishaan Joshi,91.63,ECE-201
37075,Aditya Singh,88.84,HUM-101
89615,Krishna Das,39.44,CSE-101
75465,Vivaan Patel,92.98,HUM-101
16335,Shaurya Kumar,92.39,ECE-201
87751,Vihaan Sharma,41.48,HUM-101
67480,Ishaan Verma,64.63,MTH-301
72682,Krishna Singh,66.31,HUM-101
73149,Ishaan Das,61.98,ECE-201
19920,Aarav Patel,87.21,CSE-101
25048,Vihaan Singh,76.92,MTH-301
72139,Sai Singh,45.1,CSE-101
42064,Shaurya Das,51.55,PHY-101
61384,Vihaan Patel,69.99,MTH-301
20161,Ayaan Reddy,82.12,HUM-101
14670,Arjun Das,36.79,MTH-301
71606,Sai Kumar,46.74,HUM-101
67029,Aarav Joshi,58.95,PHY-101
20067,Vihaan Reddy,99.52,CSE-101
82305,Reyansh Reddy,86.33,HUM-101
71767,Vivaan Reddy,47.01,CSE-101
38424,Shaurya Sharma,75.0,MTH-301
85684,Reyansh Patel,51.8,HUM-101
65634,Reyansh Das,59.08,MTH-301
54745,Reyansh Gupta,77.53,HUM-101
92139,Sai Malhotra,47.64,HUM-101
20025,Ishaan Malhotra,54.65,HUM-101
63187,Ishaan Das,94.41,MTH-301
90521,Ayaan Gupta,83.88,PHY-101
10486,Aarav Verma,87.97,CSE-101
27471,Arjun Singh,54.15,ECE-201
51075,Reyansh Sharma,98.68,MTH-301
71962,Vivaan Sharma,36.13,CSE-101
89785,Arjun Joshi,74.74,ECE-201
33608,Aarav Reddy,52.17,HUM-101
24878,Reyansh Kumar,36.48,PHY-101
59912,Vivaan Reddy,54.31,PHY-101
54889,Ayaan Kumar,43.24,ECE-201
19120,Vivaan Patel,38.32,MTH-301
97366,Shaurya Malhotra,87.07,CSE-101
85060,Aarav Reddy,60.1,MTH-301
53865,Arjun Reddy,61.24,CSE-101
44173,Reyansh Sharma,53.02,MTH-301
49678,Ayaan Verma,81.62,CSE-101
60688,Reyansh Das,60.74,PHY-101
96494,Vivaan Gupta,92.27,CSE-101
27277,Arjun Sharma,73.21,PHY-101
69523,Arjun Malhotra,35.13,ECE-201
26970,Vivaan Singh,96.62,ECE-201
17248,Shaurya Verma,49.15,PHY-101
76560,Vihaan Reddy,88.42,ECE-201
88190,Aarav Kumar,49.07,HUM-101
40783,Shaurya Verma,76.97,ECE-201
41612,Reyansh Malhotra,71.46,CSE-101
79480,Vivaan Singh,78.36,CSE-101
64185,Ayaan Das,62.71,MTH-301
66496,Arjun Singh,38.81,ECE-201
27640,Aarav Das,87.88,CSE-101
99068,Arjun Patel,75.79,CSE-101
89942,Reyansh Verma,47.56,PHY-101
14565,Krishna Malhotra,76.54,HUM-101
83566,Aditya Das,49.82,PHY-101
70264,Arjun Joshi,72.4,MTH-301
25259,Aditya Malhotra,69.45,HUM-101
94065,Reyansh Reddy,50.24,PHY-101
62830,Sai Sharma,79.63,HUM-101
63249,Vivaan Sharma,92.32,ECE-201
84086,Reyansh Patel,99.76,CSE-101
77301,Ishaan Verma,70.68,CSE-101
98331,Reyansh Singh,70.76,PHY-101
14265,Ishaan Malhotra,37.68,PHY-101
20032,Krishna Verma,99.59,PHY-101
94523,Reyansh Malhotra,36.08,MTH-301
21296,Krishna Sharma,40.74,ECE-201
50017,Krishna Das,49.19,PHY-101
73547,Vivaan Singh,66.53,ECE-201
95611,Ayaan Malhotra,41.18,MTH-301
93297,Shaurya Gupta,51.36,MTH-301
83471,Reyansh Joshi,79.99,CSE-101
10227,Arjun Das,37.99,ECE-201
32763,Reyansh Kumar,89.22,MTH-301
60862,Aditya Reddy,50.01,CSE-101
58134,Vivaan Kumar,83.95,MTH-301
98846,Shaurya Verma,57.31,MTH-301
80940,Aditya Sharma,59.41,MTH-301
51716,Krishna Sharma,55.19,ECE-201
95491,Sai Patel,56.53,ECE-201
99756,Krishna Malhotra,69.82,HUM-101
80215,Ayaan Patel,57.1,MTH-301
23972,Shaurya Verma,58.02,HUM-101
27286,Aarav Patel,54.86,CSE-101
84097,Sai Sharma,36.24,PHY-101
13551,Vihaan Gupta,93.25,ECE-201
48222,Krishna Singh,35.05,HUM-101
20924,Vivaan Das,80.11,PHY-101
68778,Ayaan Patel,84.46,HUM-101
61489,Shaurya Patel,84.99,MTH-301
56452,Krishna Singh,92.15,PHY-101
19633,Shaurya Malhotra,44.33,MTH-301
32367,Shaurya Singh,52.27,PHY-101
43427,Arjun Sharma,61.76,HUM-101
86736,Arjun Kumar,39.63,PHY-101
45076,Ishaan Joshi,35.33,HUM-101
24743,Aarav Das,91.37,MTH-301
57647,Vihaan Joshi,72.8,HUM-101
45015,Vihaan Patel,67.41,ECE-201
31434,Ishaan Reddy,40.49,PHY-101
82905,Aditya Gupta,38.17,MTH-301
57602,Ayaan Joshi,68.14,MTH-301
32837,Aarav Gupta,98.79,PHY-101
59858,Vivaan Patel,54.65,CSE-101
57808,Sai Joshi,43.44,CSE-101
65666,Vihaan Joshi,53.25,PHY-101
49895,Reyansh Sharma,39.09,MTH-301
17102,Krishna Joshi,80.41,CSE-101
49939,Vihaan Kumar,51.29,HUM-101
42272,Shaurya Verma,81.37,MTH-301
25627,Sai Reddy,73.06,MTH-301
71077,Ayaan Singh,54.1,PHY-101
77530,Arjun Gupta,54.57,CSE-101
95742,Arjun Verma,90.33,PHY-101
46463,Aarav Reddy,65.83,PHY-101
61160,Krishna Singh,94.48,ECE-201
54081,Reyansh Patel,60.86,CSE-101
78713,Krishna Reddy,68.38,MTH-301
67576,Reyansh Malhotra,85.83,ECE-201
97305,Vivaan Das,71.48,PHY-101
79277,Sai Das,39.66,HUM-101
17505,Aditya Verma,38.26,MTH-301
43373,Arjun Verma,39.47,CSE-101
86170,Vihaan Malhotra,40.32,CSE-101
59010,Sai Reddy,74.12,ECE-201
71349,Arjun Sharma,93.17,CSE-101
74904,Sai Kumar,41.73,MTH-301
84211,Arjun Patel,69.52,ECE-201
72593,Ishaan Sharma,62.34,HUM-101
89826,Krishna Kumar,73.97,ECE-201
54699,Vivaan Malhotra,50.06,ECE-201
36693,Sai Patel,72.34,PHY-101
96579,Vihaan Kumar,90.86,PHY-101
75025,Vihaan Reddy,50.74,HUM-101
54566,Sai Kumar,78.94,CSE-101
13193,Arjun Reddy,75.76,MTH-301
26203,Arjun Patel,46.77,CSE-101
69163,Krishna Sharma,71.71,CSE-101
22236,Aditya Sharma,43.98,MTH-301
35010,Aarav Joshi,84.93,HUM-101
93708,Vihaan Sharma,37.82,CSE-101
94592,Ayaan Reddy,91.36,ECE-201
27894,Sai Reddy,52.83,MTH-301
51843,Shaurya Sharma,67.5,HUM-101
21381,Vihaan Malhotra,74.9,MTH-301
51953,Aarav Joshi,67.83,PHY-101
68367,Reyansh Das,49.83,MTH-301
44988,Aarav Joshi,51.83,MTH-301
30115,Arjun Joshi,41.89,HUM-101
25588,Arjun Patel,51.2,MTH-301
28664,Ishaan Kumar,66.9,HUM-101
83450,Vivaan Verma,35.63,PHY-101
69379,Ishaan Joshi,43.28,ECE-201
95181,Ayaan Singh,42.12,CSE-101
48519,Vivaan Das,41.85,HUM-101
44980,Krishna Joshi,97.63,HUM-101
42189,Sai Joshi,42.9,PHY-101
84480,Shaurya Patel,78.75,MTH-301
64706,Vihaan Gupta,83.62,HUM-101
18455,Ishaan Sharma,55.27,PHY-101
92620,Aarav Sharma,52.23,CSE-101
10990,Sai Reddy,38.17,CSE-101
11137,Aditya Patel,89.32,ECE-201
